iid,gcd,student_entity_id,total_minutes,content_progress
SKY2LU,GRADE2,9084242,194,0.09
SKY2LU,GRADE2,9126578,651,0.324
SKY2LU,GRADE2,9127140,1481,0.776
SKY2LU,GRADE2,9141640,890,0.435
SKY2LU,GRADE2,9102092,1389,0.566
BAR2LT,GRADE2,9150481,2691,0.812
SKY2LU,GRADE2,9142667,959,0.326
BAR2LT,GRADE2,9087674,2465,0.782
BAR2LT,GRADE2,9152215,2586,0.562
BAR2LT,GRADE2,9152355,2268,0.901
BAR2LT,GRADE2,9152354,2359,0.788
BAR2LT,GRADE2,9089335,2565,1
BAR2LT,GRADE2,9135046,3372,0.955
BAR2LT,GRADE2,9149359,2410,0.516
BAR2LT,GRADE2,9135908,2616,0.862
BAR2LT,GRADE2,9067997,3082,0.941
BAR2LT,GRADE2,9067963,2472,0.798
BAR2LT,GRADE2,9067965,2130,1
BAR2LT,GRADE2,9132550,2967,0.883
BAR2LT,GRADE1,9149392,0,0
BAR2LT,GRADE2,9152331,2673,1
BAR2LT,GRADE2,9089500,2103,0.822
BAR2LT,GRADE2,9152093,2800,1
BAR2LT,GRADE2,9089432,0,0
BAR2LT,GRADE2,9142349,2382,0.715
BAR2LT,GRADE2,9143476,2509,0.973
BAR2LT,GRADE2,9152425,2104,0.651
BAR2LT,GRADE2,9152351,2225,0.798
BAR2LT,GRADE2,9089344,2967,0.877
BAR2LT,GRADE2,9089445,1894,0.512
BAR2LT,GRADE2,9089321,2192,0.578
BAR2LT,GRADE2,9089403,2839,0.606
BAR2LT,GRADE2,9123706,2272,1
BAR2LT,GRADE2,9139276,1976,0.56
BAR2LT,GRADE2,9135488,2040,1
BAR2LT,GRADE1,10598498,0,0
BAR2LT,GRADE2,9068005,2371,0.848
SKY2LU,GRADE2,9120754,427,0.098
SKY2LU,GRADE2,9143829,242,0.086
HIG2OC,GRADE2,9249041,1038,0.28
HIG2OC,GRADE2,9137693,2509,0.729
HIG2OC,GRADE2,9141186,86,0.016
SKY2LU,GRADE2,9142480,130,0.042
HIG2OC,GRADE2,9142416,2224,1
HIG2OC,GRADE2,9121423,1996,1
HIG2OC,GRADE2,9084034,3297,1
HIG2OC,GRADE2,10454574,2568,0.895
HIG2OC,GRADE2,9121417,2435,0.651
HIG2OC,GRADE2,9119453,2528,0.947
HIG2OC,GRADE2,9110358,1585,0.782
HIG2OC,GRADE2,9123738,2235,0.749
HIG2OC,GRADE2,9297359,2560,0.965
HIG2OC,GRADE2,9119809,2390,0.979
HIG2OC,GRADE2,9079346,2350,1
HIG2OC,GRADE2,9116838,3081,0.848
HIG2OC,GRADE2,9116843,3181,1
HIG2OC,GRADE2,9088564,2057,0.876
HIG2OC,GRADE2,9297324,2407,0.707
HIG2OC,GRADE2,9297308,1967,1
HIG2OC,GRADE2,9116563,1993,0.844
HIG2OC,GRADE2,9088560,2771,1
HIG2OC,GRADE2,9297326,1840,0.683
HIG2OC,GRADE2,9151424,2170,0.677
HIG2OC,GRADE2,9116633,1545,1
HIG2OC,GRADE2,9137949,2479,0.782
HIG2OC,GRADE2,9153117,1448,0.594
HIG2OC,GRADE2,9117795,2989,0.6
HIG2OC,GRADE2,9116472,2684,1
HIG2OC,GRADE1,9120496,2133,1
HIG2OC,GRADE2,9079792,3015,1
HIG2OC,GRADE2,9120834,1301,0.721
HIG2OC,GRADE2,9297341,1405,0.278
HIG2OC,GRADE2,9297628,890,0.292
HIG2OC,GRADE2,9296813,3515,1
HIG2OC,GRADE2,9297325,2147,0.883
HIG2OC,GRADE2,9297887,0,0
HIG2OC,GRADE2,9135560,1782,0.37
HIG2OC,GRADE2,9120612,1730,0.27
HIG2OC,GRADE2,9087726,1888,0.911
SKY2LU,GRADE2,9152907,417,0.115
SKY2LU,GRADE2,9137741,1033,0.449
SKY2LU,GRADE2,9089345,352,0.183
BAR2LT,GRADE2,10586538,80,0.024
HIG2OC,GRADE2,9086166,2243,1
BAR2LT,GRADE2,9085601,2635,1
SKY2LU,GRADE2,9137942,1200,0.492
SKY2LU,GRADE2,9148223,120,0.052
BAR2LT,GRADE2,9141956,2542,1
BAR2LT,GRADE2,9120160,883,0.126
SKY2LU,GRADE1,9079812,410,0.164
MEL2LN,GRADE2,9095068,0,0
CRO2LU,GRADE2,9149757,944,0.514
SKY2LU,GRADE2,9135729,303,0.175
SKY2LU,GRADE2,9068069,1268,0.546
BAR2LT,GRADE2,9079330,2659,1
SKY2LU,GRADE2,9123681,849,0.229
SKY2LU,GRADE2,9152221,150,0.044
SKY2LU,GRADE2,9077730,301,0.239
SKY2LU,GRADE2,9077799,38,0.006
SKY2LU,GRADE2,9137957,1262,0.588
SKY2LU,GRADE2,9148490,767,0.336
SKY2LU,GRADE2,9148503,68,0.022
SKY2LU,GRADE2,9123670,594,0.215
BAR2LT,GRADE2,9142953,2368,0.883
SKY2LU,GRADE2,9128402,844,0.346
SKY2LU,GRADE2,9085387,254,0.018
SKY2LU,GRADE2,9085741,115,0.028
SKY2LU,GRADE2,9135138,84,0.016
SKY2LU,GRADE2,9148864,342,0.213
SKY2LU,GRADE2,9148663,179,0.09
SKY2LU,GRADE2,9139677,1202,0.588
SKY2LU,GRADE2,9153128,94,0.036
SKY2LU,GRADE2,9081745,825,0.405
SKY2LU,GRADE2,9148871,105,0.036
CRO2LU,GRADE2,10346452,0,0
SKY2LU,GRADE2,9123749,89,0.03
SKY2LU,GRADE2,9123747,799,0.453
SKY2LU,GRADE2,9124013,228,0.127
SKY2LU,GRADE2,9149236,287,0.217
SKY2LU,GRADE2,9077637,838,0.376
SKY2LU,GRADE2,9076450,152,0.036
SKY2LU,GRADE2,9118794,447,0.241
SKY2LU,GRADE2,9136465,1e3,0.32
SKY2LU,GRADE2,9139603,757,0.173
SKY2LU,GRADE2,9077734,694,0.243
SKY2LU,GRADE2,9148505,533,0.231
SKY2LU,GRADE2,9148506,912,0.334
SKY2LU,GRADE2,9148825,743,0.177
SKY2LU,GRADE2,9077640,1021,0.348
SKY2LU,GRADE2,9085689,36,0.004
SKY2LU,GRADE2,10567797,0,0
SKY2LU,GRADE2,9121463,73,0.052
SKY2LU,GRADE2,9152206,560,0.25
SKY2LU,GRADE2,9152214,695,0.35
SKY2LU,GRADE2,9122754,704,0.372
SKY2LU,GRADE2,9077693,329,0.127
SKY2LU,GRADE2,9141635,712,0.32
SKY2LU,GRADE2,9141586,727,0.336
SKY2LU,GRADE2,9140086,1008,0.352
SKY2LU,GRADE2,9140224,225,0.096
SKY2LU,GRADE2,9140079,728,0.14
BAR2LT,GRADE2,9138735,2747,0.834
DOU2LN,GRADE2,9109503,111,0.012
TAR2OD,GRADE2,9137192,2248,1
TAR2OD,GRADE2,9088517,2027,1
TAR2OD,GRADE2,9142956,2453,0.772
TAR2OD,GRADE2,9086096,2423,0.921
TAR2OD,GRADE2,9132144,1814,0.796
TAR2OD,GRADE2,9101036,2610,0.748
TAR2OD,GRADE2,9115511,2423,1
TAR2OD,GRADE2,9079507,2164,1
TAR2OD,GRADE2,9088538,2441,1
TAR2OD,GRADE2,9080898,2344,0.475
TAR2OD,GRADE2,9114820,2342,1
TAR2OD,GRADE2,9091304,2914,0.806
TAR2OD,GRADE2,9123059,2207,1
TAR2OD,GRADE2,9106769,2361,0.992
TAR2OD,GRADE2,9113479,2169,1
TAR2OD,GRADE2,9113388,2578,1
TAR2OD,GRADE2,9113368,2612,0.963
TAR2OD,GRADE2,9111522,2095,1
TAR2OD,GRADE2,9091682,1762,1
TAR2OD,GRADE2,9110374,1985,0.598
TAR2OD,GRADE2,9109197,2759,1
SKY2LU,GRADE2,9140475,0,0
SKY2LU,GRADE2,9087133,466,0.195
SKY2LU,GRADE2,9151634,264,0.094
SKY2LU,GRADE2,9151630,175,0.076
SKY2LU,GRADE1,9068502,152,0.131
SKY2LU,GRADE2,9089302,1080,0.364
BAR2LT,GRADE2,9152090,2406,0.582
SKY2LU,GRADE2,9118387,101,0.03
BAR2LT,GRADE1,10303920,834,0.14
BAR2LT,GRADE2,9148803,134,0.01
SKY2LU,GRADE2,9073385,100,0.016
BAR2LT,GRADE2,9142984,1801,0.477
HIG2OC,GRADE2,9296776,1438,0.53
HIG2OC,GRADE2,9072183,1703,0.665
SKY2LU,GRADE2,9071086,279,0.064
HIG2OC,GRADE2,9142348,2176,0.691
SKY2LU,GRADE2,9142378,768,0.282
HIG2OC,GRADE2,9142153,898,0.258
BAR2LT,GRADE2,9140757,2148,0.342
DOU2LN,GRADE2,9144912,128,0.04
DOU2LN,GRADE2,9145038,0,0
PLU2LS,GRADE2,9146484,1742,0.316
FOR2OB,GRADE2,9170892,0,0
FOR2OB,GRADE2,9141118,1100,0.441
BEL2LR,GRADE2,9123531,1375,0.493
BEL2LR,GRADE2,9082339,1998,0.409
BEL2LR,GRADE2,9140622,2558,0.895
BEL2LR,GRADE2,9297172,2325,0.594
WOO2LM,GRADE2,9135252,2991,0.731
GAR2OD,GRADE2,9152827,1330,0.203
WOO2LM,GRADE2,9143270,4279,1
WOO2LM,GRADE2,9172400,2008,0.481
WOO2LM,GRADE2,9140613,2309,1
WOO2LM,GRADE2,9086301,3069,0.661
SHO2LM,GRADE2,9141448,882,0.018
SHO2LM,GRADE2,9090300,477,0.161
SAF2OD,GRADE1,9104288,0,0
WOO2LM,GRADE2,9095123,5459,0.919
PIN2LV,GRADE2,9068707,110,0.034
PLU2LS,GRADE2,9095118,3185,1
PLU2LS,GRADE2,9097089,1935,0.483
BAY2LM,GRADE2,9379706,2271,1
LAK2LM,GRADE2,9092132,0,0
LAK2LM,GRADE2,10098112,91,0.018
WOO2LM,GRADE2,9101443,3005,0.937
GAR2OD,GRADE2,9091481,970,0.35
SHO2LM,GRADE2,9092756,2195,0.62
SHO2LM,GRADE2,9101456,1692,0.412
SHO2LM,GRADE2,9096936,1944,0.524
SHO2LM,GRADE2,9147198,1777,0.572
SHO2LM,GRADE2,9139959,2098,0.679
SHO2LM,GRADE2,9113063,633,0.191
WOO2LM,GRADE2,9147505,3958,0.505
WOO2LM,GRADE2,9140981,4028,1
SHO2LM,GRADE2,9135270,2645,1
PIN2LV,GRADE2,9143789,0,0
KIN2LR,GRADE2,9144050,2231,0.636
NEW2LN,GRADE2,9070967,97,0.082
KIN2LR,GRADE2,9093174,3163,0.342
NEW2LN,GRADE2,9088396,34,0.012
NEW2LN,GRADE2,9091204,0,0
NEW2LN,GRADE2,9079778,71,0.002
KIN2LR,GRADE2,9142777,2863,1
KIN2LR,GRADE2,9141267,1595,0.439
KIN2LR,GRADE2,9101512,588,0.254
KIN2LR,GRADE2,9080291,2273,0.832
KIN2LR,GRADE1,9148863,3396,1
KIN2LR,GRADE2,9140250,1949,0.62
KIN2LR,GRADE2,9148859,3429,1
KIN2LR,GRADE2,9152740,2460,0.683
KIN2LR,GRADE1,9070876,1657,0.507
KIN2LR,GRADE2,9078130,4804,1
KIN2LR,GRADE2,9139653,1750,0.284
KIN2LR,GRADE2,9131920,2200,0.427
KIN2LR,GRADE2,9070670,2473,0.608
KIN2LR,GRADE2,9126566,2870,0.659
KIN2LR,GRADE2,9114129,2373,0.697
KIN2LR,GRADE2,9068119,2310,1
KIN2LR,GRADE2,9113544,0,0
KIN2LR,GRADE2,9113529,995,0.366
KIN2LR,GRADE2,9067993,1712,0.862
KIN2LR,GRADE2,9120539,1468,0.564
KIN2LR,GRADE2,9150425,1494,0.653
KIN2LR,GRADE1,9128419,4303,1
NEW2LN,GRADE2,9139963,185,0.028
NEW2LN,GRADE2,9141389,0,0
NEW2LN,GRADE2,9086784,226,0.028
NEW2LN,GRADE2,9068397,43,0.008
NEW2LN,GRADE2,9098790,44,0
NEW2LN,GRADE2,9150527,26,0.012
NEW2LN,GRADE2,9080211,18,0.004
NEW2LN,GRADE2,9075854,65,0.036
NEW2LN,GRADE2,9100469,80,0.032
NEW2LN,GRADE2,9071069,96,0.026
NEW2LN,GRADE2,9141467,324,0.191
NEW2LN,GRADE2,9071131,268,0.132
NEW2LN,GRADE2,9115358,3,0
NOR2LN,GRADE2,9135362,1535,0.677
NOR2LN,GRADE2,9113508,1909,0.645
MCM2LR,GRADE2,9143147,1113,0.243
SEV2LM,GRADE2,9092222,2390,0.85
NEW2LN,GRADE2,9080674,0,0
NEW2LN,GRADE2,9082503,410,0.135
NEW2LN,GRADE2,9082452,0,0
NEW2LN,GRADE2,9141466,345,0.223
NEW2LN,GRADE2,9135147,115,0.032
NEW2LN,GRADE2,9100765,181,0.064
NEW2LN,GRADE2,9143734,95,0.02
NEW2LN,GRADE2,9142975,17,0
NEW2LN,GRADE2,9141629,214,0.096
KIN2LR,GRADE2,9093630,1166,0.052
NEW2LN,GRADE2,9147535,36,0.022
NEW2LN,GRADE2,9147401,45,0.006
NEW2LN,GRADE1,9089246,0,0
KIN2LR,GRADE2,9137905,4764,1
NEW2LN,GRADE2,9138744,0,0
NEW2LN,GRADE2,9135733,238,0.11
NEW2LN,GRADE2,9087139,52,0.016
NEW2LN,GRADE2,9143193,109,0.06
KIN2LR,GRADE2,9087919,1572,0.55
KIN2LR,GRADE2,9150257,3480,1
KIN2LR,GRADE2,9150530,3035,0.891
KIN2LR,GRADE2,9150508,2371,1
KIN2LR,GRADE2,9140628,2419,1
KIN2LR,GRADE2,9140966,3106,0.651
KIN2LR,GRADE2,9145048,2912,0.518
KIN2LR,GRADE2,9118862,1673,0.35
KIN2LR,GRADE2,9118811,2210,0.346
KIN2LR,GRADE2,9123668,801,0.243
KIN2LR,GRADE2,9150065,2727,0.875
KIN2LR,GRADE2,9150560,2339,0.324
KIN2LR,GRADE2,9149443,3056,0.693
KIN2LR,GRADE2,9117600,2434,1
NEW2LN,GRADE2,9138743,46,0.01
KIN2LR,GRADE2,9108626,739,0.241
KIN2LR,GRADE2,9113042,4863,1
KIN2LR,GRADE2,9127576,3928,1
NEW2LN,GRADE2,9137713,0,0
NEW2LN,GRADE2,9077104,288,0.066
NEW2LN,GRADE2,9147746,68,0.028
NEW2LN,GRADE2,9075899,18,0.002
NEW2LN,GRADE2,9077327,26,0.004
NEW2LN,GRADE2,9077611,121,0.036
NEW2LN,GRADE2,9080820,11,0
